sample_id,collection_date,dilution,name,site_name,sewershed_pop,N_Gene_num_wells,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_lci,N_Gene_gc_g_dry_weight_uci,N_Gene_gc_g_dry_weight_pmmov,N_Gene_gc_g_dry_weight_pmmov_lci,N_Gene_gc_g_dry_weight_pmmov_uci,N_Gene_gc_g_dry_weight_trimmed5,N_Gene_gc_g_dry_weight_trimmed5_pmmov
"26-220901","2022-09-01",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,73076.93166666666,64021.04298,85099.00566666666,0.000424496712951452,0.00015713711373394615,0.0006918563121689578,75903.41067769587,0.0005707012007434583
"26-220907","2022-09-07",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,45925.9640060606,40909.05189696969,51337.62865454546,0.00022660822926605826,0.00019261892609814165,0.00026059753243397484,45601.590391738275,0.0002456727808625702
"26-220915","2022-09-15",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,17801.87550248756,14599.265154228851,21442.446543283582,0.0000859134003702003,0.00006221228757067023,0.00010961451316973038,29357.281949624838,0.00014782351123657746
"26-220922","2022-09-22",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,6535.957841568628,4676.419146039216,8833.485025882352,0.000053585818808874655,0.000032636984575251925,0.00007453465304249739,20559.621267144863,0.00010260556042469338
"26-220929","2022-09-29",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,4,24344.00634032634,16266.98731561772,31428.643871328673,0.00013094890407347386,0.00007953743311122186,0.00018236037503572585,20559.621267144863,0.00010260556042469338
"26-221006","2022-10-06",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,19532.98195862069,14208.669406896552,24271.667230651336,0.000090954376830406,0.00006345135184782613,0.00011845740181298587,23807.001401093952,0.00014818597466249495
"26-221013","2022-10-13",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,39272.24551317829,34079.81044341085,44409.11980775194,0.0002315799722127419,0.00019304273576388242,0.0002701172086616014,26607.243751030095,0.00017300511436581603
"26-221020","2022-10-20",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,27544.015904334825,21418.48308998505,32893.83230852018,0.000222654643083605,0.0001652183830054079,0.0002800909031618021,27973.66645710017,0.00019933339647036307
"26-221027","2022-10-27",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,27933.709008429116,21604.647583141763,34449.54444750958,0.00016541179594036922,0.00011165664434009651,0.00021916694754064192,31883.076326714665,0.00022138945522782064
"26-221103","2022-11-03",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,28443.27445853658,22546.727479674795,34524.89434146341,0.00020993375038711506,0.00011769210723368933,0.00030217539354054077,36912.98380558987,0.0002803970090587684
